title,price,star_rating,availability,category,price_gbp,rating,in_stock,price_inr
The Constant Princess (The Tudor Court #1),Â£16.62,Three,In stock,Historical Fiction,16.62,3,True,1753.41
The Invention of Wings,Â£37.34,One,In stock,Historical Fiction,37.34,1,True,3939.37
World Without End (The Pillars of the Earth #2),Â£32.97,Four,In stock,Historical Fiction,32.97,4,True,3478.34
The Passion of Dolssa,Â£28.32,Five,In stock,Historical Fiction,28.32,5,True,2987.76
Girl With a Pearl Earring,Â£26.77,One,In stock,Historical Fiction,26.77,1,True,2824.24
Voyager (Outlander #3),Â£21.07,Five,In stock,Historical Fiction,21.07,5,True,2222.89
The Red Tent,Â£35.66,Five,In stock,Historical Fiction,35.66,5,True,3762.13
The Last Painting of Sara de Vos,Â£55.55,Two,In stock,Historical Fiction,55.55,2,True,5860.52
The Guernsey Literary and Potato Peel Pie Society,Â£49.53,One,In stock,Historical Fiction,49.53,1,True,5225.42
Girl in the Blue Coat,Â£46.83,Two,In stock,Historical Fiction,46.83,2,True,4940.56
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,Five,In stock,Nonfiction,40.3,5,True,4251.65
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â£31.05,Three,In stock,Nonfiction,31.05,3,True,3275.78
Reasons to Stay Alive,Â£26.41,Two,In stock,Nonfiction,26.41,2,True,2786.26
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Â£23.11,Five,In stock,Nonfiction,23.11,5,True,2438.1
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Â£44.18,Four,In stock,Nonfiction,44.18,4,True,4660.99
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Â£31.12,Three,In stock,Nonfiction,31.12,3,True,3283.16
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Â£16.77,Three,In stock,Nonfiction,16.77,3,True,1769.24
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Â£37.13,One,In stock,Nonfiction,37.13,1,True,3917.22
The Electric Pencil: Drawings from Inside State Hospital No. 3,Â£56.06,One,In stock,Nonfiction,56.06,1,True,5914.33
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Â£41.83,Four,In stock,Nonfiction,41.83,4,True,4413.06
Reskilling America: Learning to Labor in the Twenty-First Century,Â£19.83,Two,In stock,Nonfiction,19.83,2,True,2092.06
In the Country We Love: My Family Divided,Â£22.00,Four,In stock,Nonfiction,22.0,4,True,2321.0
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Â£54.35,Two,In stock,Nonfiction,54.35,2,True,5733.92
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Â£29.14,Five,In stock,Nonfiction,29.14,5,True,3074.27
Algorithms to Live By: The Computer Science of Human Decisions,Â£30.81,One,In stock,Nonfiction,30.81,1,True,3250.46
The Power of Now: A Guide to Spiritual Enlightenment,Â£43.54,Two,In stock,Nonfiction,43.54,2,True,4593.47
The Omnivore's Dilemma: A Natural History of Four Meals,Â£38.21,Two,In stock,Nonfiction,38.21,2,True,4031.16
The Genius of Birds,Â£17.24,One,In stock,Nonfiction,17.24,1,True,1818.82
The Artist's Way: A Spiritual Path to Higher Creativity,Â£38.49,Five,In stock,Nonfiction,38.49,5,True,4060.7
So You've Been Publicly Shamed,Â£12.23,Two,In stock,Nonfiction,12.23,2,True,1290.27
